index,Books,link
99,Strategic International Management,https://link.springer.com/content/pdf/10.1007%2F978-3-8349-6331-4.pdf
100,Computer Vision,https://link.springer.com/content/pdf/10.1007%2F978-1-84882-935-0.pdf
101,Engineering Electromagnetics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-07806-9.pdf
102,Data Mining,https://link.springer.com/content/pdf/10.1007%2F978-3-319-14142-8.pdf
103,International Trade Theory and Policy,https://link.springer.com/content/pdf/10.1007%2F978-3-642-37314-5.pdf
104,Alternative Energy Sources,https://link.springer.com/content/pdf/10.1007%2F978-3-642-20951-2.pdf
105,Introduction to Electronic Commerce and Social Commerce,https://link.springer.com/content/pdf/10.1007%2F978-3-319-50091-1.pdf
106,Computational Geometry,https://link.springer.com/content/pdf/10.1007%2F978-3-540-77974-2.pdf
107,Elementary Mechanics Using Python,https://link.springer.com/content/pdf/10.1007%2F978-3-319-19596-4.pdf
108,Energy Economics,https://link.springer.com/content/pdf/10.1007%2F978-3-662-53022-1.pdf
109,Biomedical Informatics,https://link.springer.com/content/pdf/10.1007%2F978-1-4471-4474-8.pdf
110,"Robotics, Vision and Control",https://link.springer.com/content/pdf/10.1007%2F978-3-319-54413-7.pdf
111,Acid-Base Diagrams,https://link.springer.com/content/pdf/10.1007%2F978-3-642-37902-4.pdf
112,Brewing Science: A Multidisciplinary Approach,https://link.springer.com/content/pdf/10.1007%2F978-3-319-46394-0.pdf
113,Learning Landscape Ecology,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-6374-4.pdf
114,Probability,https://link.springer.com/content/pdf/10.1007%2F978-1-4612-4374-8.pdf
115,Modeling Life,https://link.springer.com/content/pdf/10.1007%2F978-3-319-59731-7.pdf
116,Introduction to Plasma Physics and Controlled Fusion,https://link.springer.com/content/pdf/10.1007%2F978-3-319-22309-4.pdf
117,Engineering Mechanics 1,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30319-7.pdf
118,Business Statistics for Competitive Advantage with Excel 2016,https://link.springer.com/content/pdf/10.1007%2F978-3-319-32185-1.pdf
119,Principles of Polymer Chemistry,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-2212-9.pdf
120,A Primer on Scientific Programming with Python,https://link.springer.com/content/pdf/10.1007%2F978-3-662-49887-3.pdf
121,Climate Change Science: A Modern Synthesis,https://link.springer.com/content/pdf/10.1007%2F978-94-007-5757-8.pdf
122,Solar PV and Wind Energy Conversion Systems,https://link.springer.com/content/pdf/10.1007%2F978-3-319-14941-7.pdf
123,Statistical Analysis and Data Display,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-2122-5.pdf
124,Business Process Management Cases,https://link.springer.com/content/pdf/10.1007%2F978-3-319-58307-5.pdf
125,Elementary Analysis,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-6271-2.pdf
126,Cryptography Made Simple,https://link.springer.com/content/pdf/10.1007%2F978-3-319-21936-3.pdf
127,Fluid Dynamics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-09351-2.pdf
128,Social Media Management,https://link.springer.com/content/pdf/10.1007%2F978-3-319-21990-5.pdf
129,Statistics in Criminal Justice,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-9170-5.pdf
130,Supply Chain Management and Advanced Planning,https://link.springer.com/content/pdf/10.1007%2F978-3-642-55309-7.pdf
131,Probability Theory,https://link.springer.com/content/pdf/10.1007%2F978-1-4471-5201-9.pdf
132,Statistics and Data Analysis for Financial Engineering,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-2614-5.pdf
133,Readings in Formal Epistemology,https://link.springer.com/content/pdf/10.1007%2F978-3-319-20451-2.pdf
134,Differential Equations and Their Applications,https://link.springer.com/content/pdf/10.1007%2F978-1-4612-4360-1.pdf
135,Nanotechnology: Principles and Practices,https://link.springer.com/content/pdf/10.1007%2F978-3-319-09171-6.pdf
136,Epidemiological Research: Terms and Concepts,https://link.springer.com/content/pdf/10.1007%2F978-94-007-1171-6.pdf
137,Multinational Management,https://link.springer.com/content/pdf/10.1007%2F978-3-319-23012-2.pdf
138,Partial Differential Equations,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-4809-9.pdf
139,Bayesian and Frequentist Regression Methods,https://link.springer.com/content/pdf/10.1007%2F978-1-4419-0925-1.pdf
140,Strategic International Management,https://link.springer.com/content/pdf/10.1007%2F978-3-658-07884-3.pdf
141,Basic Concepts in Computational Physics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-27265-8.pdf
142,Eye Tracking Methodology,https://link.springer.com/content/pdf/10.1007%2F978-3-319-57883-5.pdf
143,Writing for Publication,https://link.springer.com/content/pdf/10.1007%2F978-3-319-31650-5.pdf
144,Mathematical Physics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-01195-0.pdf
145,Correctional Counseling and Treatment,https://link.springer.com/content/pdf/10.1007%2F978-3-319-54349-9.pdf
146,Thermodynamics and Energy Conversion,https://link.springer.com/content/pdf/10.1007%2F978-3-662-43715-5.pdf
147,The Action Research Planner,https://link.springer.com/content/pdf/10.1007%2F978-981-4560-67-2.pdf
148,Stochastic Processes and Calculus,https://link.springer.com/content/pdf/10.1007%2F978-3-319-23428-1.pdf
149,Statistical Analysis of Clinical Data on a Pocket Calculator,https://link.springer.com/content/pdf/10.1007%2F978-94-007-1211-9.pdf
150,Clinical Data Analysis on a Pocket Calculator,https://link.springer.com/content/pdf/10.1007%2F978-3-319-27104-0.pdf
151,The Data Science Design Manual,https://link.springer.com/content/pdf/10.1007%2F978-3-319-55444-0.pdf
152,An Introduction to Machine Learning,https://link.springer.com/content/pdf/10.1007%2F978-3-319-63913-0.pdf
153,Guide to Discrete Mathematics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-44561-8.pdf
154,Petroleum Geoscience,https://link.springer.com/content/pdf/10.1007%2F978-3-642-34132-8.pdf
155,Structure Determination by X-ray Crystallography,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-3954-7.pdf
156,Introduction to Time Series and Forecasting,https://link.springer.com/content/pdf/10.1007%2F978-3-319-29854-2.pdf
157,Principles of Mobile Communication,https://link.springer.com/content/pdf/10.1007%2F978-3-319-55615-4.pdf
158,Cardiovascular Biomechanics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-46407-7.pdf
159,Introduction to Smooth Manifolds,https://link.springer.com/content/pdf/10.1007%2F978-1-4419-9982-5.pdf
160,Taxation in European Union,https://link.springer.com/content/pdf/10.1007%2F978-3-319-53919-5.pdf
161,Essentials of Cerebellum and Cerebellar Disorders,https://link.springer.com/content/pdf/10.1007%2F978-3-319-24551-5.pdf
162,Language Across the Curriculum & CLIL in English as an Additional Lang,https://link.springer.com/content/pdf/10.1007%2F978-981-10-1802-2.pdf
163,Multivariate Calculus and Geometry,https://link.springer.com/content/pdf/10.1007%2F978-1-4471-6419-7.pdf
164,Statistics and Analysis of Scientific Data,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-6572-4.pdf
165,Modelling Computing Systems,https://link.springer.com/content/pdf/10.1007%2F978-1-84800-322-4.pdf
166,Search Methodologies,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-6940-7.pdf
167,Representation Theory,https://link.springer.com/content/pdf/10.1007%2F978-1-4612-0979-9.pdf
168,Linear Algebra Done Right,https://link.springer.com/content/pdf/10.1007%2F978-3-319-11080-6.pdf
169,Stellar Structure and Evolution,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30304-3.pdf
170,Evolutionary Thinking in Medicine,https://link.springer.com/content/pdf/10.1007%2F978-3-319-29716-3.pdf
171,Understanding Cryptography,https://link.springer.com/content/pdf/10.1007%2F978-3-642-04101-3.pdf
172,Linear Algebra,https://link.springer.com/content/pdf/10.1007%2F978-3-319-24346-7.pdf
173,Algebra,https://link.springer.com/content/pdf/10.1007%2F978-1-4613-0041-0.pdf
174,Understanding Analysis,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-2712-8.pdf
175,Plate Tectonics,https://link.springer.com/content/pdf/10.1007%2F978-3-540-76504-2.pdf
176,Linear Programming,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-7630-6.pdf
177,The Nature of Scientific Knowledge,https://link.springer.com/content/pdf/10.1007%2F978-3-319-33405-9.pdf
178,Leadership Today,https://link.springer.com/content/pdf/10.1007%2F978-3-319-31036-7.pdf
179,Physics of Semiconductor Devices,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-1151-6.pdf
180,Corporate Social Responsibility,https://link.springer.com/content/pdf/10.1007%2F978-3-642-40975-2.pdf
181,Ordinary Differential Equations,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-3618-8.pdf
182,Electronic Commerce,https://link.springer.com/content/pdf/10.1007%2F978-3-319-10091-3.pdf
183,Ceramic Materials,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-3523-5.pdf
184,Foundations of Analytical Chemistry,https://link.springer.com/content/pdf/10.1007%2F978-3-319-62872-1.pdf
185,Life Cycle Assessment,https://link.springer.com/content/pdf/10.1007%2F978-3-319-56475-3.pdf
186,A Clinical Guide to the Treatment of the Human Stress Response,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-5538-7.pdf
187,Computational Physics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-00401-3.pdf
188,Handbook of LGBT Elders,https://link.springer.com/content/pdf/10.1007%2F978-3-319-03623-6.pdf
189,"Handbook of Cardiac Anatomy, Physiology, and Devices",https://link.springer.com/content/pdf/10.1007%2F978-3-319-19464-6.pdf
190,Quantum Mechanics,https://link.springer.com/content/pdf/10.1007%2F978-3-642-20556-9.pdf
191,Understanding Statistics Using R,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-6227-9.pdf
192,Mass Spectrometry,https://link.springer.com/content/pdf/10.1007%2F978-3-319-54398-7.pdf
193,Statistical Mechanics for Engineers,https://link.springer.com/content/pdf/10.1007%2F978-3-319-13809-1.pdf
194,The Gastrointestinal System,https://link.springer.com/content/pdf/10.1007%2F978-94-017-8771-0.pdf
195,Additive Manufacturing Technologies,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-2113-3.pdf
196,Magnetic Interactions in Molecules and Solids,https://link.springer.com/content/pdf/10.1007%2F978-3-319-22951-5.pdf
197,Electricity and Magnetism,https://link.springer.com/content/pdf/10.1007%2F978-4-431-54526-2.pdf
198,Survival Analysis,https://link.springer.com/content/pdf/10.1007%2F978-1-4419-6646-9.pdf
199,Foundations of Quantum Mechanics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-65867-4.pdf
200,An Introduction to Statistical Learning,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-7138-7.pdf
201,Introduction to Mathematica® for Physicists,https://link.springer.com/content/pdf/10.1007%2F978-3-319-00894-3.pdf
202,Statistical Learning from a Regression Perspective,https://link.springer.com/content/pdf/10.1007%2F978-3-319-44048-4.pdf
203,Applied Partial Differential Equations,https://link.springer.com/content/pdf/10.1007%2F978-3-319-12493-3.pdf
204,Principles of Astrophysics,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-9236-8.pdf
205,Air Pollution and Greenhouse Gases,https://link.springer.com/content/pdf/10.1007%2F978-981-287-212-8.pdf
206,Polymer Synthesis: Theory and Practice,https://link.springer.com/content/pdf/10.1007%2F978-3-642-28980-4.pdf
207,Sustainable Supply Chains,https://link.springer.com/content/pdf/10.1007%2F978-3-319-29791-0.pdf
208,Robotics,https://link.springer.com/content/pdf/10.1007%2F978-1-84628-642-1.pdf
209,Econometrics,https://link.springer.com/content/pdf/10.1007%2F978-3-642-20059-5.pdf
210,The Sea Floor,https://link.springer.com/content/pdf/10.1007%2F978-3-319-51412-3.pdf
211,SPSS for Starters and 2nd Levelers,https://link.springer.com/content/pdf/10.1007%2F978-3-319-20600-4.pdf
212,Regression Modeling Strategies,https://link.springer.com/content/pdf/10.1007%2F978-3-319-19425-7.pdf
213,Legal Dynamics of EU External Relations,https://link.springer.com/content/pdf/10.1007%2F978-3-662-54817-2.pdf
214,Food Analysis Laboratory Manual,https://link.springer.com/content/pdf/10.1007%2F978-3-319-44127-6.pdf
215,Principles of Musical Acoustics,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-6786-1.pdf
216,Fundamentals of Structural Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-319-24331-3.pdf
217,Basics of Laser Physics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-50651-7.pdf
218,Applied Quantitative Finance,https://link.springer.com/content/pdf/10.1007%2F978-3-662-54486-0.pdf
219,Handbook of Marriage and the Family,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-3987-5.pdf
220,Solid-State Physics,https://link.springer.com/content/pdf/10.1007%2F978-3-540-93804-0.pdf
221,Electrochemical Impedance Spectroscopy and its Applications,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-8933-7.pdf
222,Economics as Applied Ethics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-50319-6.pdf
223,Electronics for Embedded Systems,https://link.springer.com/content/pdf/10.1007%2F978-3-319-39439-8.pdf
224,Concise Guide to Software Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-319-57750-0.pdf
225,Fundamentals of Multimedia,https://link.springer.com/content/pdf/10.1007%2F978-3-319-05290-8.pdf
226,Logistics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-01769-3.pdf
227,Group Theory Applied to Chemistry,https://link.springer.com/content/pdf/10.1007%2F978-94-007-6863-5.pdf
228,The Psychology of Social Status,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-0867-7.pdf
229,A Modern Introduction to Probability and Statistics,https://link.springer.com/content/pdf/10.1007%2F1-84628-168-7.pdf
230,Complex Analysis,https://link.springer.com/content/pdf/10.1007%2F978-1-4419-7288-0.pdf
231,Food Chemistry,https://link.springer.com/content/pdf/10.1007%2F978-3-540-69934-7.pdf
232,Exam Survival Guide: Physical Chemistry,https://link.springer.com/content/pdf/10.1007%2F978-3-319-49810-2.pdf
233,The Python Workbook,https://link.springer.com/content/pdf/10.1007%2F978-3-319-14240-1.pdf
234,Practical Electrical Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-319-21173-2.pdf
235,Strategic Retail Management,https://link.springer.com/content/pdf/10.1007%2F978-3-658-10183-1.pdf
236,Food Analysis,https://link.springer.com/content/pdf/10.1007%2F978-3-319-45776-5.pdf
237,Psychoeducational Assessment and Report Writing,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-1911-6.pdf
238,Machine Learning in Medicine - a Complete Overview,https://link.springer.com/content/pdf/10.1007%2F978-3-319-15195-3.pdf
239,Evidence-Based Interventions for Children with Challenging Behavior,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-7807-2.pdf
240,Principles of Quantum Mechanics,https://link.springer.com/content/pdf/10.1007%2F978-1-4757-0576-8.pdf
241,Recommender Systems,https://link.springer.com/content/pdf/10.1007%2F978-3-319-29659-3.pdf
242,Pharmaceutical Biotechnology,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-6486-0.pdf
243,Python Programming Fundamentals,https://link.springer.com/content/pdf/10.1007%2F978-1-4471-6642-9.pdf
244,The Finite Element Method and Applications in Engineering Using ANS,https://link.springer.com/content/pdf/10.1007%2F978-1-4899-7550-8.pdf
245,Group Theory,https://link.springer.com/content/pdf/10.1007%2F978-3-540-32899-5.pdf
246,"Object-Oriented Analysis, Design and Implementation",https://link.springer.com/content/pdf/10.1007%2F978-3-319-24280-4.pdf
247,Introduction to Embedded Systems,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-3143-5.pdf
248,Elementary Mechanics Using Matlab,https://link.springer.com/content/pdf/10.1007%2F978-3-319-19587-2.pdf
249,An Introduction to Biomechanics,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-2623-7.pdf
250,New Introduction to Multiple Time Series Analysis,https://link.springer.com/content/pdf/10.1007%2F978-3-540-27752-1.pdf
251,Introduction to Data Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-50017-1.pdf
252,Calculus With Applications,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-7946-8.pdf
253,An Introduction to Soil Mechanics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-61185-3.pdf
254,Game Theory,https://link.springer.com/content/pdf/10.1007%2F978-3-662-46950-7.pdf
255,Fundamentals of Clinical Trials,https://link.springer.com/content/pdf/10.1007%2F978-3-319-18539-2.pdf
256,The Finite Volume Method in Computational Fluid Dynamics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-16874-6.pdf
257,The ASCRS Textbook of Colon and Rectal Surgery,https://link.springer.com/content/pdf/10.1007%2F978-3-319-25970-3.pdf
258,Applied Predictive Modeling,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-6849-3.pdf
259,Introduction to Logic Circuits & Logic Design with VHDL,https://link.springer.com/content/pdf/10.1007%2F978-3-319-34195-8.pdf
260,Sustainability Science,https://link.springer.com/content/pdf/10.1007%2F978-94-017-7242-6.pdf
261,Physical Chemistry from a Different Angle,https://link.springer.com/content/pdf/10.1007%2F978-3-319-15666-8.pdf
262,The Physics of Semiconductors,https://link.springer.com/content/pdf/10.1007%2F978-3-319-23880-7.pdf
263,Energy Harvesting and Energy Efficiency,https://link.springer.com/content/pdf/10.1007%2F978-3-319-49875-1.pdf
264,Python For ArcGIS,https://link.springer.com/content/pdf/10.1007%2F978-3-319-18398-5.pdf
265,Statics and Mechanics of Structures,https://link.springer.com/content/pdf/10.1007%2F978-94-007-6113-1.pdf
266,Real Analysis,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-2766-1.pdf
267,MATLAB for Psychologists,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-2197-9.pdf
